ymin,lower,middle,upper,ymax,location,model_name
2.762843992745196,2.8284856892986276,2.8646462282638,2.8897582548740983,2.951524416034429,MA,Baseline
3.7034250298295546,4.864393775126497,5.294832536505405,5.688745867946187,5.998628307815201,MA,Behavioral (Mixed)
3.980138952946571,4.9549412918754845,5.374775159910059,5.704831399799466,5.998867587532444,MA,Behavioral (Exponential)
4.2957646345393465,5.180354412612751,5.531266340232524,5.784610093428828,5.997219482853285,MA,Behavioral (Rational)
2.5106951780682163,2.5971994567258623,2.635952690646711,2.67022287214583,2.7225543573549116,MD,Baseline
3.9647914327134983,4.8702157033698725,5.330413851540558,5.663072477099247,5.994983661095911,MD,Behavioral (Mixed)
4.06797573358539,4.947208682504066,5.30989647542058,5.621586053042045,5.999189775666702,MD,Behavioral (Exponential)
4.665066921847366,5.327374720042985,5.6097215614390805,5.809046843140517,5.9993642338175475,MD,Behavioral (Rational)
3.3115998673958305,3.407882330325272,3.454345970631673,3.4961159353063973,3.5648330376497293,MI,Baseline
4.021516898525577,5.058579794741101,5.448610166201554,5.750245922781063,5.999583824371308,MI,Behavioral (Mixed)
4.286245365681027,5.171291278533989,5.50179732001131,5.785563652607841,5.9994820510067,MI,Behavioral (Exponential)
4.649037889681937,5.357819657055415,5.624901993561757,5.841339435097538,5.999372964118821,MI,Behavioral (Rational)
2.222626204168039,2.2849395999868096,2.3118651380303583,2.334712412933507,2.3726933897126083,MN,Baseline
2.3730486196569114,2.861407125887294,3.1477317703164087,3.4649324610066863,4.056837411766082,MN,Behavioral (Mixed)
2.4012286698089644,2.82189074873072,3.064768838068951,3.294138462554747,3.7923756614069895,MN,Behavioral (Exponential)
2.5588847793017315,3.0089231757089503,3.2313029370114297,3.435156641974338,3.7064357832828647,MN,Behavioral (Rational)
2.7279728684904816,2.8115942132347693,2.8509095247036567,2.8845362688610874,2.9308229637767793,MO,Baseline
4.2997234559212885,4.972278738693274,5.29374570290487,5.605344243638272,5.99714403756518,MO,Behavioral (Mixed)
3.3486762524566953,3.5792573013510194,3.6964011406257886,3.815581619502096,4.135083654910237,MO,Behavioral (Exponential)
3.060856901437697,3.2121838943563676,3.2932012913809556,3.3788901769829556,3.5908833371657756,MO,Behavioral (Rational)
